BudgetNo;Description;Tahun; Ol 1 AI ;;;;Sisa Budget;; Project ;;
ASKI2020-001;Industri 4.0;2020;2.500.000.000; IDR ;08/07/2020 10:11;DIGITAL;2.115.856.000;; Industry 4.0 ;;08/07/2020 10:11
ASKI2020-002;Jig - K1ZA/K1ZG;2020;180.000.000; IDR ;08/07/2020 10:11;PROJECT;115.085.000;; K1ZA/K1ZG ;;08/07/2020 10:11
ASKI2020-003;Jig - Seat Comp, Double K2FA;2020;90.000.000; IDR ;08/07/2020 10:11;PROJECT;-152.107.250;; Seat Comp, Double K2FA ;;08/07/2020 10:11
ASKI2020-004;Jig - Seat Hi Tachi;2020;120.000.000; IDR ;08/07/2020 10:11;PROJECT;120.000.000;; Seat Hi Tachi ;;08/07/2020 10:11
ASKI2020-005;Jig - Seat NQR71;2020;60.000.000; IDR ;08/07/2020 10:11;PROJECT;60.000.000;; Seat NQR71 ;;08/07/2020 10:11
ASKI2020-006;Jig - Volvo;2020;180.425.000; IDR ;08/07/2020 10:11;PROJECT;173.675.000;; Volvo ;;08/07/2020 10:11
ASKI2020-007;Jig SEAT K1ZA (Plate);2020;90.000.000; IDR ;08/07/2020 10:11;PROJECT;90.000.000;; SEAT K1ZA (Plate) ;;08/07/2020 10:11
ASKI2020-008;Jig-24095;2020;198.700.000; IDR ;08/07/2020 10:11;PROJECT;198.700.000;;24095;;08/07/2020 10:11
ASKI2020-009;Jig-26717;2020;5.000.000; IDR ;08/07/2020 10:11;PROJECT;5.000.000;;26717;;08/07/2020 10:11
ASKI2020-010;Mold - K1ZA/K1ZG;2020;1.995.000.000; IDR ;08/07/2020 10:11;PROJECT;-1.630.340.000;; K1ZA/K1ZG ;;08/07/2020 10:11
ASKI2020-011;Mold - Seat Comp, Double K2FA;2020;12.102.000.000; IDR ;08/07/2020 10:11;PROJECT;2.883.550.000;; Seat Comp, Double K2FA ;;08/07/2020 10:11
ASKI2020-012;Mold - Seat Hi Tachi;2020;408.000.000; IDR ;08/07/2020 10:11;PROJECT;408.000.000;; Seat Hi Tachi ;;08/07/2020 10:11
ASKI2020-013;Mold - Volvo;2020;742.500.000; IDR ;08/07/2020 10:11;PROJECT;742.500.000;; Volvo ;;08/07/2020 10:11
ASKI2020-014;Mold SEAT K1ZA (Plate);2020;2.232.000.000; IDR ;08/07/2020 10:11;PROJECT;2.232.000.000;; SEAT K1ZA (Plate) ;;08/07/2020 10:11
ASKI2020-015;Tools&Eqp - K1ZA/K1ZG;2020;348.000.000; IDR ;08/07/2020 10:11;PROJECT;-422.813.000;; K1ZA/K1ZG ;;08/07/2020 10:11
ASKI2020-016;Tools&Eqp - Seat Comp, Double K2FA;2020;652.000.000; IDR ;08/07/2020 10:11;PROJECT;340.160.000;; Seat Comp, Double K2FA ;;08/07/2020 10:11
